Bateau,Acheteur,poidsmontant,poidsqte,poidprix
87,2,2906.1,534,5.4421348315
87,7,12182.1,1861.5,6.5442385173
87,10,244.5,489,0.5
87,32,13799.6,1506,9.1630810093
87,77,69.3,10.5,6.6
87,138,3468.8,897.5,3.8649582173
87,163,3210.1,306,10.490522876
87,296,3610.7,1113,3.2441150045
87,297,359,49,7.3265306122
87,317,3744.25,862,4.3436774942
87,321,3591.7,672.5,5.3408178439
87,344,18142.15,2650,6.8460943396
87,347,5178,1811,2.8591938156
87,367,3500.5,905,3.8679558011
87,368,379,122,3.106557377
87,378,7349,662,11.101208459
87,386,3208,503,6.3777335984
87,391,2393.2,399.5,5.9904881101
87,502,1648.1,559,2.9483005367
87,508,8541.3,1995,4.2813533835
87,518,1292,305,4.2360655738
87,519,808,191,4.2303664921
87,526,34519.65,4459.8,7.7401789318
87,534,1808.8,476,3.8
87,535,4465.7,2448,1.8242238562
87,539,180,38.5,4.6753246753
87,543,28323.2,4643,6.1001938402
87,545,3493.2,777,4.4957528958
87,547,1057.5,161,6.5683229814
87,548,2422.05,615,3.9382926829
87,549,1157,89,13
87,551,2174.7,478,4.54958159
87,552,30722.1,9217.5,3.3330187144
87,555,5802.8,1488,3.8997311828
87,567,1637,271,6.0405904059
87,580,4268.05,1197,3.5656223893
87,592,1275.8,231,5.5229437229
87,597,27536.81,7067.3,3.8963691933
87,599,67827.05,6272.5,10.813399761
87,602,330,30,11
87,604,370.5,147,2.5204081633
87,609,11473.05,1559.5,7.3568772042
87,610,266.4,131,2.0335877863
87,612,1221,417,2.928057554
87,613,643.35,191,3.3683246073
89,7,381,139,2.7410071942
89,32,987.25,238,4.1481092437
89,138,1373,316,4.3449367089
89,296,218.4,78,2.8
89,297,448,160,2.8
89,317,1549.26,295.6,5.2410690122
89,321,66,22,3
89,344,3419.1,1015,3.3685714286
89,347,844.2,309,2.732038835
89,391,219,42.5,5.1529411765
89,502,386.4,156,2.4769230769
89,508,810,170,4.7647058824
89,518,245,50,4.9
89,526,2548,649.2,3.9248305607
89,535,1922.5,895,2.1480446927
89,543,956.5,261,3.6647509579
89,545,2099.5,675.5,3.1080680977
89,547,443,57,7.7719298246
89,548,100,25,4
89,552,1275,1759,0.7248436612
89,555,164.6,42,3.919047619
89,567,4387.6,1463,2.9990430622
89,580,4360,1487.3,2.9314865864
89,592,1355.9,384,3.5309895833
89,599,13850.5,1358,10.199189985
89,602,78,26,3
89,604,177,69,2.5652173913
89,609,4492.75,1207,3.7222452361
89,610,123,41,3
89,612,918.9,346,2.6557803468
89,613,12,30,0.4
188000,2,142.5,9.5,15
188000,273,269.2,121,2.2247933884
188000,321,117.6,38,3.0947368421
188000,367,691.75,69.5,9.9532374101
188000,526,3707.45,435.5,8.5130884041
188000,543,118.7,80,1.48375
188000,549,350,35,10
188000,558,143,22,6.5
188000,580,322,34,9.4705882353
188000,604,6,10,0.6
196326,2,71.4,140,0.51
196326,7,1638.9,471,3.4796178344
196326,32,84,140,0.6
196326,77,1197.15,354.9,3.3732037194
196326,86,2495.1,221,11.290045249
196326,157,69.7,32.6,2.1380368098
196326,273,3163.9,1507,2.099469144
196326,296,349.72,532,0.6573684211
196326,321,1051.7,309,3.4035598706
196326,347,488.8,213,2.2948356808
196326,367,33,11,3
196326,382,654,218,3
196326,386,393.2,451,0.8718403548
196326,392,51.1,4.4,11.613636364
196326,502,87,30,2.9
196326,508,36,45,0.8
196326,518,80,40,2
196326,526,11747.73,2820.9,4.164532596
196326,528,2085,2311,0.9022068369
196326,538,50,20,2.5
196326,539,483.1,103.1,4.6857419981
196326,543,1666.2,1457,1.1435827042
196326,545,535.9,292,1.8352739726
196326,547,18,6,3
196326,548,134.25,47.4,2.832278481
196326,551,1229.15,239.3,5.1364396155
196326,552,2349.94,1493,1.5739718687
196326,558,201.6,336,0.6
